id,date_created,tweet_id,tweet,hashtags
1,Fri Jul 31 17:17:54 +0000 2020,1289248935672868866,"And you lying to the few viewers you have about being quarantined ... when the cameras were off, you were Covid positive walking about the Hamptons without a mask exposing everyone then went into a roid rage when confronted.

#CuomoPrivilege

https://t.co/PllC72FZ9R",{CuomoPrivilege}
2,Fri Jul 31 17:17:54 +0000 2020,1289248939267379200,"As we enter the fifth month of masks, social distancing, and all the other changes forced on us by the pandemic, real estate markets are faring better than retail, hospitality, leisure, travel, and other sectors of the economy that  https://t.co/RAOmO0HRuI",{}
3,Fri Jul 31 17:18:04 +0000 2020,1289248977813004289,"Skin So Soft Original Dry Oil Spray - Limited Edition 3 Pack https://t.co/Plsw1RDCLz 
#avon #skinsosoft #skincare #dryoilspray #jojobaoil #LimitedEdition 
#FaceCoverings #Facemasks #washablefacemask #handsanitiser #handgel #coronavirus #secondwave #covid19 #pandemic","{avon,skinsosoft,skincare,dryoilspray,jojobaoil,LimitedEdition,FaceCoverings,Facemasks,washablefacemask,handsanitiser,handgel,coronavirus,secondwave,covid19,pandemic}"
4,Fri Jul 31 17:18:05 +0000 2020,1289248985371140096,"If #Covid_19 was visible as a green cloud, people would definitely not have a problem wearing a mask and having to enforce social distancing wouldn’t be a problem either. People would be doing more to protect themselves. #CovidHearing #fridaymorning #lockdownextension #MaskUp","{Covid_19,CovidHearing,fridaymorning,lockdownextension,MaskUp}"
5,Fri Jul 31 17:18:05 +0000 2020,1289248985547300864,"From the 1st day of the pandemic, some of us insist to pose the same Q: who has actually read, commented or criticised the official WHO pandemic guidelines? On masks or other issues? Virtually nobody.

The Advice Era: a competition of textual illiteracy.

https://t.co/bhap17I4KK",{}
6,Fri Jul 31 17:18:06 +0000 2020,1289248988147748866,"Textual illiteracy: someone told me casually something about something. 

Textual literacy: this SPECIFIC TEXT published this fact / idea / recommendation.

Example: use of masks came straight out of the official WHO pandemic guidelines. Argument for the few literates left.",{}
7,Fri Jul 31 17:18:10 +0000 2020,1289249004304453632,"“people with lung disease and pneumonia should be able to go into public without a mask because it’s harder for them to breathe with a mask on, it’s not like covid-19 affects people with respiratory issues the most and it’s not like it’s deadly to said people”",{}
8,Fri Jul 31 17:18:10 +0000 2020,1289249005407367168,"Amidst the pandemic, Muslims worldwide practice various safety precautions such as wearing masks, social distancing &amp; temperature checks as they gather to commemorate Eid al-Adha.

https://t.co/9dAqqdUljb

📸 @shutterstocknow
Ministry of Media/@AP
Yasin Akgul/AP
Robertus Pudyanto",{}
9,Fri Jul 31 17:18:13 +0000 2020,1289249015909908480,"@DDNewslive sir, if two person met in a air-conditioned room well covered by mask and after 2 days one found covid positive. What is the danger for other one? Pls tell.",{}
10,Fri Jul 31 17:18:14 +0000 2020,1289249020880117760,I’ll catch myself watching things and I’ll be like why aren’t they wearing a mask and then I’m like oh wait because there wasn’t a pandemic,{}
