tweet,label
"Nearly 300,000 people are projected to die of COVID-19 in the U.S. by December, but that number that could drop by 70,000 if universal mask use was adopted,
https://t.co/YiarJQv0L3",0
If your medical condition or disability  prevents you from wearing a mask chances are you medical condition also prevents you from being OUTSIDE DURING 👏 A 👏 PANDEMIC 👏,0
"I wouldn't wear a mask in your house either. 
One of the biggest con on American people
I think this whole thing is a crock of s***
Yeah there is a virus we got it under control just like the flu and influenza sars and all the rest 
Never needed to wear a mask
It's BS to me",1
"Masks available at https://t.co/5O95RCqtbS 

#masks #maskson #COVID19 #mask #maskup #WearADamnMask #wearamask #staysafe",0
"..the mask reduces transmission as the when other molecules which the virus attaches to are limited in their ability to pass through and/or how far they can travel. It’s a safety measure for others, thanks for your input though, stay safe !",0
"184 fines issued to #COVID19 rulebreakers in Victoria in past 24 hours. 
-24 for not wearing a mask
-58 for curfew breaches
One man drove from Mooroolbark to Mansfield (154km) to 'pick up a friend' @theheraldsun",2
"Pandemic of positivity, crazy nut? Freedoms have been taking from people cos of a global fraud &amp; u come up with 'positive' stuff? Next they'll force to have a RNA vaccines with the ID2020 which changes your DNS &amp; u'll continue blind as u like! I bet u always use a mask! 🤣🤣🤣🤣",1
"Hope you catch corona since americans are so stupid they dont even know how to wear a mask 💖
 https://t.co/0xw5YY6EiY",0
"You should have taken Covid seriously 5 months ago.  It would have saved over 100,000 lives.  Just #WearAFuckingMask you worthless Douche Bag scum!",0
"College football is doing the responsible thing! Too bad the GOP in this state have done everything but act responsibly! Right @henrymcmaster!?! 

It is time to tackle🏈👟this virus! #MaskUpSC! It is time to get serious! Vote blue for responsible leadership &amp; football next year!",0
"I’m a @MomsDemand volunteer from Kansas City, MO joining the global movement to inspire more people to wear face-coverings &amp; help stop the spread of COVID-19 during #WorldMaskWeek! LEARN MORE HERE: https://t.co/xIA4zqAHlm @Everytown",0
"Sad to see the damage Trump has done throughout America.

Still waiting for Federal COVID-19 plan &amp; coordinated response vs your “no mask, don’t test, just go to school” policy.",0
"@UCSDHealth is all in for the alleged plague.
Doctors there are pushing the unhealthy face masks.
WAKE UP
THIS IS NOT ABOUT A VIRUS",1
"I don’t know what would be weirder; if TV shows start coming out again and they completely ignore what happened in 2020, or if TV shows fully acknowledge it and we see the characters wearing masks and talking about Covid.",2
"Brendo, you're supposed to go to bars...outdoor ones... and do the right thing....and hope others there do as well. The warning is not for you. It's for businesses that bite off more than they can chew, and can't control their patrons' careless behavior in a pandemic. #WearAMask",0
"165 000 Americans dead 💀 from this virus and you cows are cheering like your hip is still good. 
Pathetic I swear.  
What ever happened to peace love and understanding.   

God help us all 
please and put a mask 😷 under or over the bags on your heads.",0
N95 masks are not widely used in the community and most facemask used in community cannot prevent spread of virus. PHAC is clear on this matter. Most homemade masks are equivalent to handkerchief. Glad you agree they aren't effective!,1
"Wow, you mean some of the biggest and earliest hit states have had a large proportion of Covid deaths. 

See, I can remember all the way back to March when y’all were calling it a hoax, LIBERATING MICHIGAN, and screaming at grocery store employees about masks. You are he problem.",0
Lol. Facts. Im like she left her mask; she will be back trmw 😂😂 RT @almaconfundida: @MzRedDredDarkie Tell there’s been a delay because of the pandemic,2
"Mask-clad and socially distant, Georgia Southern President Kyle Marrero spoke exclusively with The George-Anne six days before the start of the fall semester amidst a worldwide pandemic. 

Read more here: https://t.co/hZF8genU68
Article by @imandycole",2
No. I want people to understand that by wearing a mask helps prevent the spread of this virus that we can agree is dangerous. It doesn’t prevent you from getting it but it helps reduce the spread. Just logically.,0
"Saw the VP announcement. No one was wearing a mask and did you see how much hand shaking, hugging and kissing Biden was doing?  What ever happened to all the talk about taking the pandemic seriously? Guess COVID is over and Biden is out of his basement. &amp; not 1 mention on news!!!",2
"There were many who thought internment camps were right but looking back were they? Did they not infringe on others rights?

There is no observational data that says mask work on covid or that wearing them actually accomplishes anything. It could, but that's still not proof",1
"Coronavirus: 5 million cases in the US in ~6 months, 160,000 deaths (4x car accidents) = everyone is expected to wear a mask, yet a portion of the population refuses to comply because of...individual freedom?",0
My Facebook account was temporarily banned because I tried to get Americans to wears masks and keep social distancing. Facebook doesn't want it to happen because it wants your supporters to self defeat. Facebook wants your supporters to spread COVID so you will lose.,0
It’s not just a matter of death. It’s about additional transmission which we are trying to stop via lockdown and masks &amp; the after effects of the virus. If I were their age I’d probably want to play but we won’t know the long term costs of having the virus. All for what? Fun?,0
"Considering how few people wiped down the machines BEFORE the pandemic, and seeing how many people in our country just don’t care / aren’t wearing masks / are protesting basic things, I wouldn’t come within a country mile of a germ-trap like the gym.",0
"How can anyone listen to advice from you?

Your inane management of the Covid situation has caused 8558 deaths so far.  Too political to ask citizens to wear masks?

Today was a new Florida record 276 deaths!!!

Time to impeachment.

#DeSantisResignNow",0
"We cannot get this virus under control because...

you have to live your life

you have to go to bars

you don't want to wear a mask

What's wrong with this? It's all about YOU. When we start thinking about our neighbor, we will finally get back to normal.",0
"Trump listened to ""expert""Fauci til he realized Fauci made terrible mistakes like saying we didn't need masks up to May while the virus spread. Fauci embraced fraudulent studies negating HCQ. A notable study he embraced was retracted but damage done: HCQ CTs halted based on study",0
"Native American tribes set up COVID-19 checkpoints and block THOUSANDS of mask-less bikers passing through reservation land en route to 10-day motorcycle festival in Sturgis, South Dakota https://t.co/p08VDipZyI",2
"University's suggestion that students wear COVID-19 prevention masks during sex goes viral. Students mock the advice, and the school's feelings get hurt. https://t.co/H94pfEDFtq",2
Tangara School for Girls outbreak in Sydney the 'tip of iceberg' for NSW coronavirus cases The reality is that students go out. They are allowed to go to prayer retreats and restaurants.Then they go to school and spread the virus due to no distancing or masks. #COVID19Aus,0
We recently had a covid outbreak and as of today we have new lockdown rules and I'm getting eggs with 10 other people in the store and I'm the only one with a mask🙄🙄,0
100s possibly 1000s of seniors n NY stayed home 100% of the time after covid broke who later were hospitalized &amp; died from covid. Social distancing doesn't work. States &amp; countries who never shut down or forced masks have statistically similar or better results. Masks don't work.,1
"My sister will be teaching a class of 28 who won't have to socially distance or wear masks. If she brings the virus home to my 74 year old da or my asthmatic single-kidneyed ma will I be wondering if the principal was negligent? Absolutely not. 
I'll know it was the government.",0
"Common Anti-Mask talking points and why they don't work: 1/4

""Wearing a mask doesn't protect you!"" It's for protecting others. The mask is supposed to protect what's going out, not what's coming in.

""COVID-19 only has a... 0.04 death% rate!"" This is true too, the issue is how",0
NA political hoax did ... if mask work why social distance if social distancing works why wear a mask if this virus is SOOO BAD why no bio hazard containers for the mask ... This political hoax goes away November 4 !!!!,1
"Lost a little respect for coach tonight. No mask? Theres a global pandemic going around. 170K have died. Come on coach, be better.",0
I can’t imagine yelling at strangers in a store about how Covid is fake and not wearing a mask is my right. Then walking out getting in my car and putting on my seat belt.,0
"In V for Vendetta, after a pandemic leads to a fascist dictatorship in the year 2020, everyone puts on the Guy Fawkes mask to topple the regime.
https://t.co/pSPAUUeVsA",2
Wisconsin Agency Tells Employees They Must Wear a Face Mask For At-Home Zoom Calls to 'Set a Good Example' https://t.co/BdUgKrHYMZ via @gatewaypundit 🇺🇸 has everyone gone brain dead! These masks do not have any positive affect of stopping on microscopic virus of any kind! FACT!🇺🇸,1
"Any Trump supporter who doesn't wear a mask and doesn't keep social distancing is not a real Trump supporter. President Trump, you must speak out. All your supporters must wear masks and social distancing to reduce COVID which is the only thing blocking your victory of reelection",0
So at what stage do you decide someone’s advice is better than your understanding of the situation .. or are you always right.. it’s not the first pandemic that required masking up in world history prob not the last,0
Wasn’t Corona Allah sent? Mentioned in Quuuuuuuuuran 🤔burkha the PPE &amp; niqab the mask 🤔 Quarantine also islaaaaaamic invention surely Propeeeeet Mooooohamad was great sciiiiientiiiiist.,0
"If Putin has got his own daughters inoculated with the covid-19 vaccine and is so confident, why not go one step further and get her to test it by working on the front line without a mask to see if her immune system responds to contracting the virus? #doubledown",2
"That shit is fucking horrible.

To think we live in a world were people don't understand what other people are going through and shit on them instead

And as soon as they see an insult it's always: oh my mask affects my heart!!!!!

Even if you don't believe in covid, show respect",0
"Important—wearing a neck gaiter may be worse than no mask at all, according to new study. The neck gaiter design seeks to allow too much leakage to be optimal for lowering transmission. #COVID19 https://t.co/HneC5uwA6g",1
"She tried telling me to wear a mask 😂😭 honey I work at a hospital, I wear one for 10+ hours a day, every day. Omg I can’t. I’m so fed up with people who aren’t in healthcare trying to tell healthcare workers what to do during Covid 😩",0
Ran into one of my yoga studio coworkers at her new pandemic job working for TJs. Good to see her though we were both like WTF spotting each other in masks. She’s from Paradise &amp; if there’s anybody I know who already deserves an opt-out from a pandemic,2
"Wonder what Boris has in store for us de-population wise. Maybe Bill gates vaccine, ship off the old into nursing homes. Kill off as many as he can. The death rates non covid have surpassed actual covid deaths. Now the face masks. Keeping people I'll.  Makes sense now Boris.",1
"Safety first before rioting. They can handle the fight but cant handle the COVID hence mask is important. 😁
#Bangalore 
#bangaloreriots",0
"Be responsible, wear a mask 😷 
Order now 
https://t.co/zpHn3OPhjA
#facemask #covid #adultstore #sextoy #theintimatepleasure",0
"#CovidVic: 184 people fined in the past 24 hours for breaching CHO directions including: 

- Four men 'just chilling' in a parked car during curfew
- 24 people not wearing a mask
- Multiple people going to convenience stores during curfew to buy food/cigarettes/drinks",2
"This is SOOOOOOO true and SOOOOOO sad.  What's even sadder is that the ""mask wearing"" is NEVER going to stop now.  They'll continue to guilt healthy people into thinking they are spreading a virus... we're in dangerous and crazy times for sure! And the biggest danger isn't Covid!",1
"Do you remember Trump not believing the virus was going to be a problem,  it's going to just disappear. Open the states, don't listen to science , we don't need to wear masks, open the schools, play college football. It's all more important to Trump than lives, how many is enough",0
"And BTW before any more of you #Covid deniers or Hoaxers like this tweet... We had #Covid19 and always wear a mask. However, an emergency is an emergency.",0
"I'm a Type 1 Diabetic.

Not only do I appreciate that people are advising people to wear masks DURING A PANDEMIC, but I also appreciate people who enforce drunk driving regulations.  

If there weren't irresponsible adults endangering other's ;ives, they wouldn't need babysitters",0
"Thinking of selling invisible, stealth masks on TM. 

$49.95 each, last forever, never need cleaning, co-ordinates with every outfit. 99.9% virus survival rate. 

#nzpol #COVID19nz",1
"@WHO @CDC @NSWHealth you lot happy to lie directly to the people of the world huh?

Disgusting parasitic of organisations.

https://t.co/yglNQgZxPT

If you go back before Covid and look at similar viruses the conclusion is clear, single use masks are ineffective at preventing...",1
"Please, lecture me some more, you of the twitter internet oracle. The goal of masks in this pandemic is to decrease R0. Which means fewer infected, which means your local hospital doesn't have to be faced with rationing ventilators.",0
"you three Karens every morning downplaying Covid and whining about masks on this states’ most listened to radio station was sort  of irresponsible IMO, but i understand it’s just opinion shows that you three all host . And now here we are.  #Omaha #Nebraska  #BigRedHiatus",0
"Why do healthy people need to wear masks?

I know I'm getting less oxygen when I wear them and I don't see why someone who isn't symptomatic should reduce their oxygen intake on the small chance they are spreading a virus that kills less than 1% of those it infects.",1
"To #WASHINGTONPOST Guess what??? Any mask, neck gaiter, face shield, all are complete horse manure when it comes to protecting against an airborne virus. Law abiding citizens are trying to abide by current recommendations to wait this stupidity out.  https://t.co/zNzqWtwPsR",1
"📢During the CCP virus epidemic: ""wearing a mask""and""frequent hand washing""are very effective protective measures. When going out, keep a certain distance, choose to wear a smooth coat and disinfect, outdoor shoes and door handle disinfection.
🌞May people be safe and healthy! 🙏",0
"There's nothing sane about walking around grocery stores with cloths covering part of the airstream to/from your face.  If c19 was the ""kills 8% of infected"" they sold masks on, nobody would dare go shopping. Masks protect the lie. C19 is just another virus like 100 others around",1
"And I enjoy your tweets. I'm late 50's, athlete, had Mild COVID in March after travel to London/NYC.
Sick for a month, 4 months later still have slight itching burning lungs. It sucks. And science is only starting to learn about long-term effects, young and old.  #WearAMask",0
"Alyssa Milano is dealing with hair loss after testing positive for antibodies.The actress has symptoms since March, when she  got fever and headache. In a video she show the amount of hair coming out of her head as a result of Covid. ""Wear a d*** mask"". #COVID19 #ยังคู่กัน #virus",0
Good God Mika really brings out the lunatic liberal fringe. Masks and goggles for a virus with a survival rate of 99.67%. Look closely at the number. It is a fact as is your paranoia.,1
"The US reported 54,230 cases &amp; 1,508 deaths Tuesday, August 11th.

The 1,508 deaths is the equivalency of (7) 757 airliners crashing in 1 day.

A grim reminder that covid-19 remains highly contagious and highly lethal. Please #WearAMask 😷
https://t.co/zLObD2gRI3",0
